,R_INTERNATIONAL_MIG_2019,Unemployment_rate_2020,PCT_COLL_4_2015_19,PCT_COLL_1TO3_2000,PCT_HSD_Only_2000,R_NET_MIG_2019,Med_HH_Income_Percent_of_State_Total_2019,GQ_ESTIMATES_2019,N_POP_CHG_2019,INTERNATIONAL_MIG_2019,NET_MIG_2019,HSD_Only_2000,DOMESTIC_MIG_2019,RESIDUAL_2019,Deaths_2019,COLL_4_2000,POP_ESTIMATE_2019,LT_HSD_2015_19,COLL_1TO3_2000,Unemployed_2020,NATURAL_INC_2019,GQ_ESTIMATES_BASE_2010,Employed_2020,LT_HSD_2000,COLL_4_2015_19,HSD_Only_2015_19,COLL_1TO3_2015_19,Civilian_labor_force_2020,CENSUS_2010_POP,PCT_LT_HSD_2000,R_birth_2019,PCT_COLL_1TO3_2015_19,PCT_COLL_4_2000,Economic_typology_2015,R_death_2019,county_name,state_code
347220,0.6,5.1,10.3,18.5,35.4,1.8,65.5,112,67,9,27,"2,847",18,0.0,150,753,"15,115","2,020","1,486",314,40,111,"5,785","2,950","1,002","3,764","2,949","6,099","15,068",36.7,12.6,30.3,9.4,3.0,9.9,Jeff Davis County,GA
356566,26.0,5.7,12.2,16.8,37.1,32.9,55.8,"1,701",186,170,215,"1,295",45,-1.0,62,325,"6,621","1,560",588,142,-28,"1,675","2,367","1,287",595,"1,781",954,"2,509","6,058",36.8,5.2,19.5,9.3,4.0,9.5,Stewart County,GA
345563,-0.6,6.9,16.8,26.0,35.8,-3.5,103.8,"1,452",-105,-28,-151,"9,225",-123,-3.0,471,"3,228","43,257","4,018","6,710","1,332",49,"1,480","18,047","6,627","4,970","10,473","10,200","19,379","43,462",25.7,12.0,34.4,12.5,0.0,10.9,Miller County,AR
347686,-0.2,10.3,15.9,17.3,35.3,-27.7,75.5,769,-324,-2,-285,"3,196",-283,0.0,150,"1,058","10,118","1,431","1,566",336,-39,722,"2,914","3,242","1,182","2,833","1,995","3,250","11,800",35.8,10.8,26.8,11.7,1.0,14.6,Chicot County,AR
341655,-0.1,7.7,17.1,29.0,36.3,13.6,82.9,481,574,-4,562,"8,342",566,-3.0,437,"2,542","41,753","3,948","6,656","1,345",15,516,"16,103","5,437","4,768","9,605","9,576","17,448","39,309",23.7,10.9,34.3,11.1,0.0,10.5,Upshur County,TX
350835,-0.3,11.2,12.9,23.0,39.6,-6.5,73.8,876,-240,-12,-231,"9,269",-219,-1.0,430,"2,449","35,529","3,608","5,377","1,443",-8,941,"11,440","6,325","3,106","10,744","6,580","12,883","35,710",27.0,11.8,27.4,10.5,0.0,12.1,Jasper County,TX
352306,-0.2,4.9,9.1,15.2,39.4,-5.8,61.0,"1,650",-63,-2,-56,"2,052",-54,1.0,113,404,"9,643","1,732",793,198,-8,"1,737","3,808","1,957",637,"3,202","1,398","4,006","9,980",37.6,10.9,20.1,7.8,4.0,11.7,Johnson County,GA
343370,0.0,10.5,15.5,29.3,38.7,-1.8,98.3,640,-78,-3,-150,"21,012",-147,-2.0,940,"5,956","83,396","6,778","15,900","3,786",74,639,"32,241","11,361","8,708","20,906","19,747","36,027","81,837",21.0,12.2,35.2,11.0,3.0,11.3,Orange County,TX
352745,-0.4,10.1,15.8,23.4,46.5,-2.5,81.2,"2,444",-449,-27,-167,"24,075",-140,-3.0,917,"6,137","65,325","4,240","12,100","2,775",-279,"2,212","24,721","9,507","7,481","21,169","14,393","27,496","69,709",18.3,9.7,30.4,11.8,0.0,14.0,Jefferson County,OH
352391,0.0,8.2,14.7,25.8,33.1,0.9,59.1,145,-61,0,9,"2,581",9,-2.0,138,662,"9,854","1,122","2,014",351,-68,167,"3,920","2,535","1,115","3,111","2,231","4,271","10,546",32.5,7.1,29.4,8.5,0.0,14.0,Marion County,TX
353733,0.2,8.3,21.3,31.9,27.7,3.1,83.0,"4,069",694,23,379,"19,372",356,-3.0,"1,307","13,659","123,945","12,711","22,341","4,682",318,"4,414","51,883","14,634","17,008","22,480","27,622","56,565","121,730",20.9,13.1,34.6,19.5,2.0,10.6,Gregg County,TX
351329,0.8,5.3,20.6,34.9,30.4,5.0,92.3,964,849,65,434,"12,006",369,-2.0,778,"6,337","86,878","6,973","13,798","2,167",417,"1,072","39,083","7,403","11,146","14,682","21,230","41,250","77,230",18.7,13.8,39.3,16.0,0.0,9.0,Twin Falls County,ID
355799,-0.3,6.4,12.5,23.1,33.7,-4.9,64.5,159,-120,-4,-59,"3,301",-55,-3.0,178,878,"12,023","1,305","2,260",327,-58,189,"4,817","3,362","1,112","3,600","2,904","5,144","12,860",34.3,9.9,32.6,9.0,1.0,14.7,Red River County,TX
349414,-0.2,7.3,15.5,28.3,33.0,1.9,87.5,"6,213",105,-13,104,"10,499",117,-4.0,557,"4,068","54,406","7,133","9,027","1,619",5,"5,210","20,508","8,249","5,700","11,707","12,303","22,127","53,330",25.9,10.3,33.4,12.8,2.0,10.2,Rusk County,TX
353079,-0.1,5.4,28.6,30.4,37.2,-2.2,104.4,72,-22,-1,-36,"4,133",-35,0.0,159,"2,340","16,344",709,"3,385",453,14,72,"8,009","1,260","3,310","3,930","3,635","8,462","16,729",11.3,10.6,31.4,21.0,1.0,9.7,Piatt County,IL
355880,0.0,5.4,10.9,19.4,41.4,-7.2,70.9,180,-89,0,-65,"2,697",-65,-1.0,127,623,"8,954",973,"1,264",203,-23,110,"3,587","1,925",678,"3,142","1,454","3,790","9,563",29.6,11.6,23.3,9.6,2.0,14.1,Wilkinson County,GA
355251,-0.5,7.8,14.0,19.8,35.2,-10.8,71.8,266,-220,-11,-231,"4,731",-220,1.0,251,"1,570","21,312","2,346","2,666",679,10,318,"8,016","4,475","1,979","5,878","3,913","8,695","21,875",33.3,12.2,27.7,11.7,3.0,11.7,McDuffie County,GA
