,R_INTERNATIONAL_MIG_2019,Unemployment_rate_2020,PCT_COLL_4_2015_19,PCT_COLL_1TO3_2000,PCT_HSD_Only_2000,R_NET_MIG_2019,Med_HH_Income_Percent_of_State_Total_2019,GQ_ESTIMATES_2019,N_POP_CHG_2019,INTERNATIONAL_MIG_2019,NET_MIG_2019,HSD_Only_2000,DOMESTIC_MIG_2019,RESIDUAL_2019,Deaths_2019,COLL_4_2000,POP_ESTIMATE_2019,LT_HSD_2015_19,COLL_1TO3_2000,Unemployed_2020,NATURAL_INC_2019,GQ_ESTIMATES_BASE_2010,Employed_2020,LT_HSD_2000,COLL_4_2015_19,HSD_Only_2015_19,COLL_1TO3_2015_19,Civilian_labor_force_2020,CENSUS_2010_POP,PCT_LT_HSD_2000,R_birth_2019,PCT_COLL_1TO3_2015_19,PCT_COLL_4_2000,Economic_typology_2015,R_death_2019,county_name,state_code
289896,0.0,4.2,18.5,24.8,42.4,-11.1,84.0,152,-56,0,-92,"2,210",-92,-1.0,80,623,"8,278",831,"1,293",175,37,152,"3,948","1,087","1,021","2,267","1,408","4,123","8,433",20.9,14.1,25.5,12.0,1.0,9.6,Daviess County,MO
224907,1.0,6.5,20.9,20.4,47.0,-4.3,89.5,"2,349",-222,56,-229,"15,673",-285,1.0,580,"5,302","53,484","4,090","6,811","1,709",6,"2,144","24,783","5,553","7,433","14,759","9,205","26,492","53,139",16.7,10.9,25.9,15.9,0.0,10.8,Ashland County,OH
243541,0.0,5.8,14.0,15.9,36.7,-17.5,74.6,106,-146,0,-112,"2,100",-112,-2.0,102,460,"6,320",853,906,163,-32,106,"2,631","2,250",655,"2,041","1,113","2,794","7,260",39.4,10.9,23.9,8.0,0.0,16.0,Woodruff County,AR
211839,0.1,8.7,15.7,24.1,39.9,-0.4,77.4,"3,391",-166,8,-31,"20,833",-39,-2.0,958,"5,279","75,314","7,993","12,601","2,546",-133,"3,642","26,808","13,523","8,298","21,764","14,782","29,354","79,499",25.9,10.9,28.0,10.1,0.0,12.7,Scioto County,OH
61582,0.0,11.2,20.0,32.5,38.1,10.2,76.1,92,0,0,58,"1,951",58,0.0,91,674,"5,687",251,"1,664",286,-58,96,"2,261",835,919,"1,546","1,876","2,547","5,916",16.3,5.8,40.9,13.2,3.0,16.0,Iron County,WI
342726,0.0,5.9,17.9,27.2,37.5,15.7,85.6,595,308,-1,655,"10,832",656,-1.0,695,"3,688","41,932","3,581","7,859",981,-346,595,"15,547","6,482","5,682","11,536","10,976","16,528","41,513",22.5,8.4,34.5,12.8,0.0,16.6,Baxter County,AR
200215,-0.5,5.8,14.3,17.9,36.8,-5.6,81.6,227,-75,-5,-61,"3,082",-56,0.0,130,998,"10,763","1,426","1,494",256,-14,220,"4,130","2,794","1,078","3,105","1,911","4,386","11,508",33.4,10.7,25.4,11.9,0.0,12.0,Bradley County,AR
190702,0.4,8.3,41.0,27.9,19.7,4.0,118.8,"2,632",597,63,605,"17,308",542,-6.0,"1,191","32,443","150,358","11,813","24,489","5,891",-2,"2,613","65,455","13,630","45,475","24,722","28,794","71,346","144,170",15.5,7.9,26.0,36.9,4.0,7.9,Santa Fe County,NM
29056,0.1,7.0,16.6,27.4,31.8,10.5,78.3,273,315,2,306,"5,647",304,0.0,343,"2,149","29,189","3,078","4,859",928,9,263,"12,339","5,109","3,223","6,638","6,510","13,267","28,111",28.8,12.1,33.5,12.1,2.0,11.8,Palo Pinto County,TX
9917,0.6,10.2,27.4,37.0,27.8,15.7,73.2,"1,818",780,44,"1,206","12,696","1,162",3.0,"1,061","9,490","77,331","4,332","16,893","2,977",-429,"1,899","26,303","6,632","15,810","15,145","22,361","29,280","71,404",14.5,8.2,38.8,20.8,0.0,13.8,Clallam County,WA
330567,-0.5,4.7,23.9,34.1,33.2,11.4,94.5,"2,018","1,015",-29,616,"7,990",645,3.0,372,"3,846","54,666","2,917","8,208",997,396,"1,877","20,092","4,029","8,029","10,824","11,859","21,089","50,513",16.7,14.2,35.3,16.0,4.0,6.9,Camden County,GA
147209,0.9,5.2,28.3,32.2,32.4,10.7,106.0,"1,521","2,340",141,"1,669","22,344","1,528",-3.0,"1,284","13,637","157,863","8,489","22,215","3,649",674,"1,599","66,769","10,842","28,448","27,171","36,365","70,418","139,900",15.7,12.5,36.2,19.8,4.0,8.2,Houston County,GA
61349,3.7,8.0,58.5,18.2,20.6,0.6,100.0,"38,858","4,202","2,604",401,"79,169","-2,203",-15.0,"5,677","150,237","705,749","44,850","69,880","32,895","3,816","40,021","376,839","85,249","289,259","83,185","76,822","409,734","601,723",22.2,13.5,15.5,39.1,4.0,8.1,District of Columbia,DC
85589,2.7,9.1,16.7,15.8,37.5,17.9,82.8,290,357,54,364,"4,454",310,0.0,226,"1,338","20,490","2,803","1,874",694,-7,298,"6,957","4,204","2,360","5,774","3,183","7,651","18,723",35.4,10.8,22.5,11.3,3.0,11.1,DeKalb County,TN
300539,0.1,9.9,22.3,33.7,24.7,5.5,90.7,"32,869","24,757",303,"13,473","230,867","13,170",-50.0,"18,148","155,676","2,470,546","280,136","315,008","109,998","11,334","35,945","997,725","234,473","347,937","418,902","512,894","1,107,723","2,189,641",25.0,12.0,32.9,16.6,5.0,7.4,Riverside County,CA
225140,-0.2,8.6,30.5,32.6,28.6,9.5,136.7,760,"1,652",-22,"1,392","16,157","1,414",0.0,"1,145","14,029","146,748","9,881","18,392","5,698",260,761,"60,627","7,901","29,839","24,940","33,270","66,325","131,561",14.0,9.6,34.0,24.8,3.0,7.8,Sandoval County,NM
278154,-0.2,5.5,20.6,27.4,35.7,-3.5,128.1,573,-82,-12,-254,"11,944",-242,4.0,690,"4,874","73,309","5,246","9,167","1,858",168,572,"31,692","7,483","9,944","17,701","15,363","33,550","68,356",22.4,11.7,31.8,14.6,0.0,9.4,Lonoke County,AR
178099,0.5,5.0,39.6,22.8,33.8,-1.4,116.2,"2,965",-96,20,-52,"7,592",-72,-2.0,341,"6,694","36,777","1,654","5,125",989,-42,"2,852","18,947","3,057","10,068","7,403","6,295","19,936","36,821",13.6,8.1,24.8,29.8,0.0,9.3,Addison County,VT
353499,0.4,5.8,15.1,22.4,33.5,-8.0,64.6,137,-96,4,-82,"2,635",-86,0.0,142,989,"10,190","1,338","1,763",256,-14,172,"4,168","2,485","1,029","2,535","1,924","4,424","11,008",31.6,12.5,28.2,12.6,3.0,13.9,Early County,GA
124323,0.4,7.4,34.3,29.2,27.1,-3.2,107.5,"8,661",-7,153,"-1,262","63,911","-1,415",-17.0,"3,795","66,324","391,911","25,739","68,813","14,044","1,272","7,980","174,884","36,873","91,541","69,244","80,241","188,928","382,748",15.6,12.9,30.1,28.1,4.0,9.7,Pulaski County,AR
100100,-0.3,8.2,18.5,29.1,32.3,3.3,105.5,"1,552",383,-21,253,"13,200",274,-3.0,699,"6,038","76,688","7,973","11,903","2,486",133,"1,529","27,681","9,776","9,507","16,951","16,900","30,167","76,569",23.9,10.9,32.9,14.8,0.0,9.1,Valencia County,NM
243308,2.8,8.0,52.9,23.3,19.4,8.1,127.9,"34,098","13,806","3,003","8,559","102,246","5,556",53.0,"7,418","218,405","1,063,937","52,085","122,717","44,639","5,194","31,392","512,593","84,370","370,539","124,030","153,992","557,232","920,581",16.0,11.9,22.0,41.4,0.0,7.0,Fulton County,GA
308442,-1.1,8.9,14.2,31.0,26.8,10.9,69.2,334,426,-31,306,"4,314",337,0.0,251,"1,723","28,393","4,518","4,985","1,113",120,316,"11,455","5,077","2,541","4,890","6,002","12,568","28,122",31.5,13.2,33.4,10.7,1.0,8.9,Glenn County,CA
24023,-0.1,6.2,18.6,29.0,40.8,-5.2,72.7,336,-83,-2,-71,"4,543",-69,0.0,158,"1,539","13,653",727,"3,224",436,-12,336,"6,651","1,822","1,831","3,722","3,583","7,087","14,553",16.4,10.7,36.3,13.8,1.0,11.5,Faribault County,MN
67796,2.1,6.8,39.4,26.2,27.6,-1.8,88.8,"21,405",-489,"1,727","-1,484","141,035","-3,211",-2.0,"8,601","156,341","827,370","49,009","134,004","30,432",997,"20,781","415,263","80,054","226,425","148,205","151,661","445,695","805,029",15.7,11.6,26.4,30.6,0.0,10.4,Baltimore County,MD
246772,0.8,6.4,43.0,26.6,31.2,9.5,156.1,"5,711","2,657",187,"2,206","32,242","2,019",-7.0,"1,858","29,301","234,602","9,494","27,486","7,581",458,"6,140","111,257","14,277","66,311","39,740","38,694","118,838","212,693",13.8,9.9,25.1,28.4,0.0,8.0,Warren County,OH
174178,-0.9,10.8,14.6,28.1,25.3,-3.8,76.0,"7,445",445,-139,-603,"18,923",-464,0.0,"1,060","8,982","157,327","27,373","21,024","6,649","1,048","8,624","55,089","25,901","14,192","24,303","31,659","61,738","150,865",34.6,13.4,32.5,12.0,0.0,6.7,Madera County,CA
252799,0.0,9.8,13.2,12.6,35.5,7.2,68.6,219,79,0,97,"3,351",97,1.0,177,668,"13,427","2,412","1,188",502,-19,180,"4,629","4,234","1,240","3,829","1,927","5,131","13,703",44.8,11.8,20.5,7.1,0.0,13.2,Grundy County,TN
217596,4.9,7.9,30.9,26.6,29.6,-0.1,88.0,"18,368","5,882","4,759",-107,"163,991","-4,866",-24.0,"8,190","140,550","964,582","87,377","147,322","38,918","6,013","16,675","456,145","101,596","193,422","175,257","170,346","495,063","903,393",18.4,14.8,27.2,25.4,0.0,8.5,Marion County,IN
95516,0.7,6.2,33.4,28.4,27.9,-2.9,104.6,"16,663",-856,460,"-1,915","121,233","-2,375",-20.0,"7,343","106,833","658,573","44,684","123,142","19,675","1,079","15,774","296,282","82,950","150,124","118,636","136,299","315,957","658,466",19.1,12.8,30.3,24.6,0.0,11.1,Jefferson County,AL
276078,0.1,11.5,13.6,15.6,48.3,1.1,88.8,122,5,1,16,"4,681",15,-2.0,153,901,"14,530","1,279","1,512",890,-9,122,"6,820","2,593","1,426","5,490","2,317","7,710","14,845",26.8,9.9,22.0,9.3,3.0,10.5,Fulton County,PA
250162,0.3,8.3,14.2,25.4,43.8,3.1,79.5,452,83,8,72,"6,585",64,-3.0,251,"1,698","23,460","1,845","3,821",965,14,455,"10,641","2,929","2,313","7,139","5,016","11,606","23,528",19.5,11.3,30.7,11.3,3.0,10.7,Osceola County,MI
154317,-0.2,6.4,25.0,28.6,27.1,-6.0,49.6,852,-15,-4,-97,"2,320",-93,-1.0,115,"2,310","16,233","1,264","2,448",535,83,740,"7,868","1,489","2,409","2,742","3,204","8,403","15,445",17.4,12.2,33.3,27.0,4.0,7.1,Alamosa County,CO
14988,-0.2,4.1,18.3,20.6,36.0,6.6,73.2,135,-10,-1,32,"1,289",33,-1.0,71,723,"4,873",609,737,78,-41,151,"1,811",833,653,"1,142","1,171","1,889","4,936",23.3,6.2,32.8,20.2,1.0,14.6,Mills County,TX
74352,1.4,5.8,46.2,28.5,18.9,3.1,93.0,"15,020","1,925",420,899,"25,963",479,-13.0,"1,945","57,396","293,582","11,158","39,211","8,743","1,039","14,994","141,883","14,967","79,612","32,737","48,716","150,626","275,487",10.9,10.2,28.3,41.7,4.0,6.6,Leon County,FL
18830,1.0,9.4,9.2,19.4,31.2,-24.6,57.0,"1,056",-236,9,-217,"2,215",-226,2.0,102,663,"8,688","1,282","1,376",249,-21,"1,342","2,392","2,840",585,"2,910","1,569","2,641","10,419",40.0,9.2,24.7,9.3,3.0,11.6,Allendale County,SC
79195,0.6,10.6,33.9,25.8,33.6,-2.7,120.2,"6,986",-117,308,"-1,291","98,845","-1,599",-1.0,"4,147","68,114","476,143","37,207","75,673","22,456","1,175","7,838","188,608","51,163","111,976","100,452","81,026","211,064","468,730",17.4,11.2,24.5,23.2,0.0,8.7,Richmond County,NY
111333,0.3,8.8,46.0,25.9,27.4,-2.3,119.6,"6,726","-1,664",191,"-1,428","113,343","-1,619",-13.0,"5,867","142,842","618,795","28,643","106,979","28,964",-223,"7,670","298,748","49,894","200,708","102,013","104,552","327,712","630,380",12.1,9.1,24.0,34.6,0.0,9.5,Monmouth County,NJ
114795,0.1,6.7,12.7,19.9,39.5,-5.9,97.9,"2,420",-151,1,-113,"5,483",-114,-1.0,233,"1,567","19,135","2,846","2,764",518,-37,"2,399","7,244","4,063","1,814","6,202","3,402","7,762","20,267",29.3,10.2,23.9,11.3,4.0,12.1,East Feliciana Parish,LA
325900,0.0,7.4,14.7,22.1,44.7,0.2,101.2,52,-4,0,1,"1,688",1,0.0,76,439,"5,875",541,836,233,-5,52,"2,924",817,643,"1,889","1,306","3,157","6,128",21.6,12.1,29.8,11.6,5.0,12.9,Ohio County,IN
215070,1.0,8.5,20.5,32.8,29.5,10.8,80.2,190,680,41,464,"6,023",423,-1.0,325,"3,301","43,429","4,940","6,705","1,805",217,190,"19,420","4,406","5,664","8,160","8,829","21,225","38,431",21.6,12.6,32.0,16.2,1.0,7.5,Douglas County,WA
74122,1.2,3.4,23.0,35.5,34.0,2.8,85.3,1,27,3,7,389,4,0.0,11,252,"2,483",63,406,40,20,1,"1,122",97,336,468,592,"1,162","2,264",8.5,12.6,40.6,22.0,5.0,4.5,Rich County,UT
19064,0.0,5.4,19.9,32.1,30.5,14.1,91.8,225,294,1,299,"3,500",298,1.0,210,"1,859","21,428","1,325","3,694",485,-6,222,"8,556","2,438","2,925","4,327","6,123","9,041","19,677",21.2,9.6,41.7,16.2,0.0,9.9,Lampasas County,TX
217828,14.0,8.0,29.8,23.9,22.3,-2.6,92.9,"42,224","2,086","38,016","-7,158","332,997","-45,174",144.0,"21,689","323,399","2,716,940","355,100","356,040","103,681","9,100","41,617","1,188,173","479,353","570,125","522,159","466,710","1,291,854","2,496,435",32.1,11.3,24.4,21.7,0.0,8.0,Miami-Dade County,FL
157089,3.0,6.2,41.8,27.4,29.0,-0.4,114.3,"14,695",32,449,-54,"25,251",-503,0.0,"1,048","28,598","150,721","4,786","23,929","5,236",86,"16,117","79,362","9,424","40,173","25,936","25,192","84,598","152,691",10.8,7.5,26.2,32.8,4.0,7.0,Tolland County,CT
195771,0.1,7.6,15.9,17.1,35.1,-21.2,66.9,"1,509",-466,2,-362,"4,540",-364,3.0,272,"1,184","16,828","2,254","2,207",519,-107,"1,975","6,293","4,987","1,937","5,062","2,950","6,812","19,220",38.6,9.7,24.2,9.2,4.0,15.9,Lee County,SC
154089,-0.4,8.0,15.7,17.8,39.3,-0.3,101.2,355,48,-10,-9,"5,904",1,-2.0,291,"2,014","28,157","2,895","2,682",905,59,357,"10,450","4,433","2,980","7,666","5,497","11,355","26,499",29.5,12.4,28.9,13.4,3.0,10.3,Montgomery County,KY
74583,1.0,5.3,15.2,24.7,32.0,-6.8,72.4,416,-85,15,-100,"3,268",-115,1.0,173,"1,343","14,714","1,684","2,517",377,14,410,"6,774","3,075","1,443","3,338","3,034","7,151","15,216",30.1,12.7,31.9,13.2,0.0,11.7,Nolan County,TX
283004,0.2,5.6,30.8,28.2,37.4,19.1,135.2,649,"1,690",18,"1,475","13,878","1,457",0.0,631,"8,225","78,168","3,666","10,437","2,279",215,649,"38,084","4,533","15,868","16,857","15,091","40,363","70,002",12.2,10.9,29.3,22.2,0.0,8.2,Hancock County,IN
114565,0.1,6.1,24.6,28.2,41.8,-4.2,105.0,182,-44,3,-100,"6,306",-103,-2.0,190,"2,787","23,678",794,"4,264",824,58,214,"12,678","1,743","4,078","5,858","5,867","13,502","23,687",11.5,10.5,35.3,18.5,0.0,8.0,Iowa County,WI
18605,1.0,7.1,45.2,32.7,22.6,3.9,116.3,"8,309","3,489",596,"2,255","79,402","1,659",11.0,"4,599","128,496","582,881","22,750","114,934","23,625","1,223","7,450","310,057","28,747","187,387","84,160","120,528","333,682","534,543",8.2,10.0,29.1,36.5,0.0,7.9,Jefferson County,CO
197597,0.6,6.2,29.1,26.6,28.2,10.1,93.1,344,56,13,208,"3,853",195,1.0,308,"3,515","20,724","1,469","3,636",556,-153,330,"8,392","2,649","4,621","3,990","5,809","8,948","20,510",19.4,7.5,36.6,25.7,0.0,14.9,Polk County,NC
75046,0.5,5.8,28.2,31.1,29.7,9.4,120.7,"1,719","2,091",80,"1,528","18,206","1,448",0.0,"1,250","13,133","162,809","10,950","19,066","4,519",563,"2,015","73,174","10,929","29,978","29,048","36,333","77,693","136,555",17.8,11.2,34.2,21.4,0.0,7.7,Dorchester County,SC
264697,0.5,6.9,32.6,29.8,32.6,7.5,87.5,"1,060",158,28,460,"12,809",432,-5.0,775,"9,140","61,303","3,074","11,688","2,157",-297,858,"28,971","5,623","14,687","13,299","14,054","31,128","60,088",14.3,7.8,31.2,23.3,5.0,12.7,Belknap County,NH
111564,3.1,5.1,35.6,35.4,24.0,1.7,105.6,"14,692","11,745","3,592","1,988","122,409","-1,604",-32.0,"6,741","139,631","1,160,437","65,628","180,328","32,591","9,789","14,006","609,766","67,085","254,184","161,676","233,110","642,357","1,029,655",13.2,14.3,32.6,27.4,0.0,5.8,Salt Lake County,UT
217368,0.0,6.9,23.5,33.2,26.3,2.6,95.7,"10,456","2,406",17,892,"46,773",875,-3.0,"2,893","35,169","347,818","33,022","58,950","11,304","1,517","10,429","151,713","36,791","52,627","59,570","78,609","163,017","315,335",20.7,12.7,35.1,19.8,4.0,8.3,Marion County,OR
18372,0.3,8.2,38.0,27.6,31.1,0.7,103.1,"11,491",604,120,319,"88,884",199,-26.0,"4,022","81,068","445,349","19,630","78,942","18,996",311,"13,214","211,788","36,659","119,351","88,177","86,787","230,784","448,734",12.8,9.7,27.6,28.4,0.0,9.0,Burlington County,NJ
324282,4.1,5.2,11.5,19.8,35.3,16.0,70.4,"3,588",633,154,604,"7,497",450,2.0,362,"1,779","38,001","6,993","4,210",741,27,"3,798","13,615","7,736","3,049","11,586","4,806","14,356","34,862",36.5,10.3,18.2,8.4,0.0,9.6,DeSoto County,FL
297939,0.3,6.8,18.5,33.7,38.4,13.0,104.6,465,646,13,525,"7,639",512,0.0,327,"2,892","40,596","2,026","6,709","1,454",121,465,"19,976","2,675","5,008","9,374","10,657","21,430","37,816",13.4,11.1,39.4,14.5,0.0,8.1,Isanti County,MN
263875,0.0,6.2,21.0,28.6,41.0,7.3,94.6,"2,701",549,-1,473,"14,885",474,-2.0,576,"5,328","64,658","3,269","10,399","2,048",78,"2,632","30,930","5,718","9,468","15,993","16,451","32,978","62,415",15.7,10.2,36.4,14.7,3.0,8.9,Chippewa County,WI
250391,-0.2,7.8,27.8,32.6,30.1,7.3,84.2,"3,669","1,533",-41,"1,611","36,443","1,652",-4.0,"2,325","26,992","220,944","15,385","39,533","8,210",-74,"3,492","96,937","18,187","43,162","40,404","56,078","105,147","203,206",15.0,10.2,36.2,22.3,0.0,10.6,Jackson County,OR
115025,0.6,7.5,20.6,20.1,47.5,-8.1,105.7,377,-166,17,-215,"7,573",-232,2.0,273,"1,829","26,559","1,618","3,207","1,115",47,377,"13,813","3,339","3,684","7,853","4,706","14,928","25,740",20.9,12.0,26.3,11.5,3.0,10.2,Decatur County,IN
114333,0.5,5.5,24.9,25.9,34.5,16.5,137.3,"1,812",965,25,801,"7,627",776,3.0,389,"4,125","49,024","4,368","5,728","1,374",161,"1,696","23,817","4,616","8,059","9,809","10,149","25,191","42,074",20.9,11.3,31.3,18.7,3.0,8.0,Shelby County,KY
172813,-0.2,5.7,25.3,29.9,32.6,17.5,86.8,147,195,-4,379,"4,427",383,3.0,348,"2,848","21,795","2,388","4,063",486,-187,184,"7,993","2,233","4,258","4,461","5,734","8,479","19,301",16.5,7.4,34.0,21.0,5.0,16.0,Llano County,TX
325668,0.4,6.0,27.4,34.4,32.0,21.4,138.0,"2,482","3,880",57,"3,135","17,961","3,078",8.0,"1,092","11,738","148,306","7,994","19,361","4,544",737,"2,488","71,482","7,147","25,471","27,718","31,783","76,026","115,541",12.7,12.5,34.2,20.9,0.0,7.5,Canadian County,OK
1750,-0.2,5.7,29.6,27.7,34.4,32.1,123.0,543,"2,689",-15,"2,798","13,415","2,813",12.0,979,"7,364","88,625","5,316","10,795","2,347",-121,543,"38,991","7,398","18,053","19,369","18,344","41,338","73,314",19.0,9.8,30.0,18.9,5.0,11.2,Nassau County,FL
74817,1.8,9.3,34.3,32.7,27.6,15.4,87.3,"5,813","4,050",403,"3,490","28,344","3,087",18.0,"1,662","27,988","229,247","10,497","33,603","10,724",542,"5,704","103,992","12,852","50,116","34,175","51,486","114,716","201,140",12.5,9.7,35.2,27.2,5.0,7.3,Whatcom County,WA
1982,0.0,7.0,8.3,13.8,30.8,51.6,59.1,"1,010",351,0,373,"1,660",373,4.0,98,337,"7,403","1,582",744,143,-26,"1,016","1,904","2,640",410,"1,802","1,168","2,047","7,887",49.1,10.0,23.5,6.3,0.0,13.6,Lee County,KY
195996,-0.1,5.3,14.0,21.7,34.9,2.3,85.6,597,5,-7,121,"12,707",128,-3.0,675,"3,798","51,626","6,218","7,924","1,203",-113,597,"21,637","12,006","5,175","15,177","10,429","22,840","53,227",33.0,10.9,28.2,10.4,3.0,13.1,Jackson County,AL
154549,0.1,6.3,19.8,25.4,33.4,11.4,94.8,"2,387",722,4,582,"8,231",578,-1.0,454,"3,285","51,584","5,659","6,266","1,351",141,"2,309","20,110","6,847","6,671","10,417","10,869","21,461","46,006",27.8,11.6,32.3,13.3,0.0,8.9,Medina County,TX
15184,0.4,6.5,9.7,20.8,35.4,-12.8,60.3,"2,109",-272,8,-281,"5,298",-289,0.0,236,"1,365","21,863","3,473","3,111",538,9,"2,135","7,751","5,198","1,480","6,023","4,263","8,289","23,498",34.7,11.1,28.0,9.1,3.0,10.7,Mitchell County,GA
311863,0.0,3.5,8.8,31.4,31.7,14.4,113.1,1,31,0,29,350,29,0.0,10,150,"2,029",73,347,36,2,1,"1,004",257,118,638,517,"1,040","1,987",23.3,6.0,38.4,13.6,2.0,5.0,Eureka County,NV
78963,0.0,8.6,9.2,15.1,38.1,3.3,69.1,302,40,0,72,"5,133",72,-2.0,287,"1,009","22,068","3,025","2,035",700,-30,264,"7,470","5,303","1,376","6,627","3,933","8,170","22,228",39.3,11.7,26.3,7.5,0.0,13.0,Scott County,TN
291241,0.3,7.1,19.8,25.4,34.7,16.8,94.0,"1,649","2,323",37,"1,859","13,601","1,822",-3.0,906,"5,692","111,744","9,260","9,951","3,699",467,"1,792","48,202","9,900","13,695","23,398","22,915","51,901","99,958",25.3,12.4,33.1,14.5,3.0,8.2,Newton County,GA
291705,0.2,9.2,16.6,18.2,48.3,0.4,88.2,"6,722",-456,23,50,"52,150",27,-10.0,"1,778","11,589","141,359","11,165","19,604","6,107",-496,"6,780","60,022","24,667","17,334","48,726","27,273","66,129","148,289",22.8,9.1,26.1,10.7,0.0,12.6,Schuylkill County,PA
79425,-0.1,8.1,18.1,29.5,39.6,5.2,69.7,274,-1,-1,83,"4,460",84,-1.0,207,"1,273","15,886","1,084","3,324",603,-83,274,"6,884","2,206","2,234","4,561","4,496","7,487","16,202",19.6,7.8,36.3,11.3,5.0,13.0,Aitkin County,MN
73890,2.4,5.2,62.6,23.9,16.2,4.6,140.0,"1,689","3,069",779,"1,489","26,513",710,-22.0,"1,845","86,437","325,690","9,716","39,091","9,558","1,602","2,322","174,916","11,267","134,698","28,992","41,894","184,474","287,085",6.9,10.6,19.5,52.9,0.0,5.7,Howard County,MD
19753,0.9,8.7,33.3,28.0,31.1,2.3,105.5,"1,155",239,153,376,"36,288",223,-11.0,"1,673","28,898","164,292","9,477","32,659","7,721",-126,"1,536","80,562","18,783","40,273","33,877","37,403","88,283","166,158",16.1,9.4,30.9,24.8,0.0,10.2,Kent County,RI
253031,-0.4,5.9,18.7,30.8,30.3,22.2,96.4,"3,304","6,613",-96,"5,036","23,239","5,132",25.0,"1,547","11,415","229,849","19,948","23,594","6,218","1,552","3,335","99,763","18,371","24,974","42,930","46,038","105,981","188,923",24.0,13.7,34.4,14.9,0.0,6.8,Canyon County,ID
275845,1.6,7.9,49.8,35.5,18.7,28.9,87.8,187,458,27,501,"1,997",474,1.0,132,"4,297","17,582",568,"3,800",665,-44,187,"7,714",597,"6,829","2,190","4,123","8,379","15,769",5.6,5.1,30.1,40.2,5.0,7.6,San Juan County,WA
153623,0.7,6.6,30.2,33.9,28.9,14.9,97.3,"6,801","6,739",429,"8,938","98,108","8,509",11.0,"7,468","80,020","601,942","33,886","115,194","18,724","-2,210","7,741","262,867","46,416","131,166","122,936","146,837","281,591","543,376",13.7,8.8,33.8,23.6,0.0,12.5,Brevard County,FL
79659,0.1,10.2,24.2,24.8,40.1,0.3,81.8,"10,217",-533,22,60,"70,163",38,-14.0,"2,934","30,557","228,683","14,875","43,380","10,298",-579,"7,925","90,990","30,703","39,614","61,634","47,614","101,288","238,823",17.6,10.3,29.1,17.5,0.0,12.8,Mahoning County,OH
347410,0.3,6.1,10.4,21.0,34.5,-3.4,75.3,874,-231,13,-155,"9,593",-168,-1.0,571,"2,680","45,650","7,450","5,824","1,323",-75,874,"20,511","9,672","3,303","13,189","7,964","21,834","46,734",34.8,10.8,25.0,9.7,3.0,12.5,Chesterfield County,SC
260013,0.6,6.3,29.2,31.3,28.6,5.3,73.3,"2,002",453,29,248,"6,512",219,0.0,433,"5,346","47,188","2,243","7,125","1,559",205,"2,079","23,306","3,765","8,332","7,916","10,023","24,865","44,442",16.6,13.6,35.2,23.5,5.0,9.2,Beltrami County,MN
157319,1.5,6.3,20.9,22.4,33.2,5.5,81.5,"3,726",534,152,543,"19,489",391,-2.0,"1,140","9,267","98,498","11,383","13,159","2,712",-7,"3,733","40,522","16,736","13,537","22,254","17,642","43,234","96,317",28.5,11.5,27.2,15.8,0.0,11.6,Floyd County,GA
99403,0.9,5.9,39.9,33.2,28.4,5.0,145.9,"1,289","1,822",126,737,"15,800",611,-3.0,677,"16,334","149,013","5,000","18,453","4,957","1,088","1,287","78,940","4,977","37,319","20,804","30,510","83,897","129,928",9.0,11.9,32.6,29.4,0.0,4.6,Scott County,MN
311441,-0.2,17.3,9.9,10.9,16.9,-6.2,50.8,830,384,-10,-397,"4,683",-387,3.0,400,"1,921","64,633","16,619","3,014","4,559",778,810,"21,760","18,098","3,515","9,379","6,084","26,319","60,968",65.3,18.3,17.1,6.9,0.0,6.2,Starr County,TX
73197,-0.3,6.6,16.9,26.3,35.4,14.6,83.8,216,234,-6,288,"4,672",294,0.0,258,"1,496","19,818","1,947","3,468",602,-54,266,"8,479","3,572","2,307","5,130","4,248","9,081","19,719",27.0,10.4,31.2,11.3,2.0,13.1,Montague County,TX
298302,1.9,7.3,29.0,25.0,39.9,0.5,97.8,"7,442",-36,303,74,"37,558",-229,-4.0,"1,462","19,779","162,466","8,024","23,492","6,229",-106,"7,914","79,554","13,244","30,540","38,519","28,228","85,783","161,419",14.1,8.3,26.8,21.0,4.0,9.0,Portage County,OH
249467,-0.2,6.6,19.8,23.9,36.1,7.1,90.2,810,124,-13,377,"13,160",390,-1.0,725,"5,379","53,382","4,343","8,715","1,513",-252,646,"21,508","9,201","7,735","14,192","12,874","23,021","54,181",25.2,8.9,32.9,14.8,0.0,13.6,Roane County,TN
14537,-0.2,6.4,11.5,21.8,39.2,0.0,84.2,332,-48,-4,-1,"5,897",3,-1.0,296,"1,269","23,920","3,709","3,285",695,-46,332,"10,157","4,606","1,935","6,556","4,577","10,852","24,696",30.6,10.4,27.3,8.4,3.0,12.4,Crawford County,MO
72968,1.7,4.6,53.1,27.6,23.5,25.6,182.9,652,"7,259",409,"6,152","15,272","5,743",12.0,"1,340","22,490","244,252","10,430","17,979","5,533","1,095",642,"115,371","9,286","78,687","23,028","35,924","120,904","175,511",14.3,10.1,24.3,34.6,0.0,5.6,Forsyth County,GA
